id,order,category_id,ka,en,ru,price,vegetarian,topRated,soldOut,description_ka,description_en,description_ru,story_ka,story_en
dish_0010,100,cat_0001,მჟავის ასორტი,Assorted Pickled vegetables,Ассорти маринованных овощей,20,TRUE,FALSE,FALSE,,,,"Pickles, or 'Mzhave', are crucial for digestion in a Georgian feast. From jonjoli (bladdernut flowers) to crunchy cucumbers, these fermented delights cut through the richness of meats and cheeses.","მჟავეული - ქართული სუფრის აუცილებელი თანმხლები. ჯონჯოლიდან დაწყებული, კიტრით დამთავრებული, ეს ფერმენტირებული ბოსტნეული იდეალურად აბალანსებს ცხიმიანი კერძების გემოს."
dish_0011,110,cat_0001,ყველი იმერული,Imeretian cheese,Имеретийский сыр,15,FALSE,FALSE,FALSE,,,,"A soft, porous cow's milk cheese from the Imereti region. Mild and slightly sour, it is the mother of Khachapuri cheese and a breakfast staple, often eaten with hot Gomi or Mchadi.","რბილი, ფორებიანი ყველი იმერეთიდან. ხაჭაპურის მთავარი ინგრედიენტი და ცხელი ღომის ან მჭადის საუკეთესო მეწყვილე."
dish_0012,120,cat_0001,ყველი სულგუნი,Sulguni cheese,Сулгуни сыр,20,FALSE,FALSE,FALSE,,,,"The mozzarella of Georgia! Originating from Samegrelo, Sulguni is famous for its elastic texture and layers. It has a tangy, salty flavor and is the star ingredient in Elarji and many hot dishes.","ქართული მოცარელა სამეგრელოდან! ფენიანი, ელასტიური და ზომიერად მარილიანი ყველი, რომელიც დნობისას ნამდვილ სასწაულებს ახდენს."
dish_0013,130,cat_0001,"ყველის ასორტი ""ქართული""","Assorted cheese ""Georgian""",Ассорти сыров «Грузинский»,32,FALSE,FALSE,FALSE,,,,"A journey through Georgian dairy traditions. This platter typically features the salty, layered Sulguni, the soft Imeretian, and sometimes the pungently delicious Guda cheese from the mountains.","საქართველოს ყველის ტრადიციების მოკლე ექსკურსი. თეფშზე შეხვდებით როგორც რბილ იმერულს, ისე ხასიათიან სულგუნსა და სხვა სახეობებს."
dish_0014,140,cat_0001,ყველი ქარხნული,Factory cheese,Заводской сыр,20,FALSE,FALSE,FALSE,,,,"A classic, consistent cheese with a mild flavor profile. While less rustic than village cheeses, it offers a familiar and comforting taste that pairs perfectly with fresh bread and herbs.","კლასიკური, ნაცნობი გემო. სტაბილური ხარისხის ყველი, რომელიც იდეალურია საუზმეზე, პურთან და კარაქთან ერთად."
dish_0015,150,cat_0001,დაჭრილი ენა (საქონლის),Sliced ​​tongue (beef),Нарезанный язык (говядина),22,FALSE,FALSE,FALSE,,,,"A delicacy admired for its tenderness. Boiled slowly with aromatics until it melts in your mouth, beef tongue is often served cold with horseradish or a walnut sauce to enhance its subtle flavor.","დელიკატესი, რომელიც სირბილით გამოირჩევა. ნელ ცეცხლზე მოხარშული ენა, რომელიც პირში დნება. განსაკუთრებით უხდება პირშუშხა ან ნიგვზიანი საწებელი."
dish_0016,160,cat_0001,ქათამი ბაჟეში,Chicken in baje,Курица в баже,28,FALSE,FALSE,FALSE,,,,"Succulent chicken pieces swimming in 'Baje', a spiced walnut sauce similar to Satsivi but lighter. It’s a celebratory dish where the garlic and walnut oils create a creamy, dairy-free gold sauce.","სადღესასწაულო კერძი. მოხარშული დედალი ნიგვზის სქელ, არომატულ საწებელში. საცივის მსუბუქი და სწრაფად მოსამზადებელი ალტერნატივა."
dish_0017,170,cat_0001,ორაგული ბაჟეში,Salmon in baje,Лосось в баже,32,FALSE,FALSE,FALSE,,,,"A twist on the traditional chicken dish. The rich, fatty salmon pairs unexpectedly well with the earthy walnut sauce, creating a luxurious cold appetizer that bridges river and land.",ტრადიციული რეცეპტის საინტერესო ინტერპრეტაცია. ცხიმიანი ორაგული მოულოდნელად კარგად ეხამება ნიგვზიან ბაჟეს და ქმნის დახვეწილ ცივ საუზმეს.
dish_0018,180,cat_0001,ზეთის ხილი,Olive,Оливки,12,FALSE,FALSE,FALSE,,,,"Though not native to traditional Georgian cuisine, olives have become a beloved addition. They offer a salty, briny contrast that complements the local cheeses and wines perfectly.","მართალია ქართული არ არის, მაგრამ ჩვენს სუფრაზე უკვე დაიმკვიდრა ადგილი. მარილიანი და პიკანტური - იდეალურია ღვინოსთან და ყველთან."
dish_0019,190,cat_0001,გებჟალია,Gebzhalia,Гебжалия,27,FALSE,FALSE,FALSE,"სულგუნი, ცოცხალი პიტნა, მაწონი, მარილი","Sulguni cheese, fresh mint, matsoni (yogurt), salt",,"A Megrelian masterpiece! Rolls of soft cheese mint-infused cheese are served in a bath of creamy mint-yogurt sauce. It’s a refreshing, melt-in-your-mouth experience that balances the heat of spicy dishes.","მეგრული სამზარეულოს მარგალიტი. სულგუნისა და პიტნის რულეტები მაწვნის სოუსში. გამაგრილებელი და პიკანტური გემო, რომელიც ცხარე კერძებს ანეიტრალებს."
dish_0020,200,cat_0001,მოხარშული ხბოს კანჭი ცივად,Cold boiled veal shank,Холодная вареная телячья голень,35,FALSE,FALSE,FALSE,,,,"Simple yet sophisticated. The veal shank is boiled until tender, preserving its natural gelatin and flavor. Served cold, it’s a pure protein hit, often enjoyed with spicy mustard or adjika.","უბრალოება და გემო. მოხარშული ხბოს კანჭი, რომელიც ცივად მოგართმევათ. ხორცის ბუნებრივი გემო ზედმეტი დანამატების გარეშე."
dish_0021,210,cat_0001,აკროშკა (სეზონურად),Akroshka (seasonal),Акрошка (сезонное блюдо),18,FALSE,FALSE,FALSE,,,,"A refreshing cold soup of Russian origin, beloved in Georgian summers. Made with chopped veggies, meats, and kefir or kvass, it’s the ultimate way to cool down on a hot Tbilisi afternoon.",ზაფხულის სიცხის საუკეთესო წამალი. ცივი წვნიანი კეფირითა და ცოცხალი ბოსტნეულით - გამაგრილებელი და მსუბუქი.
dish_0022,10,cat_0002,"სტეიკ სალათი ""ჩერო"" (ხბოს ხორცით)","Steak salad ""Cherro"" (with veal)",Салат «Черро» (с телятиной),40,FALSE,FALSE,FALSE,,,,"A hearty salad for meat lovers. Tender strips of veal steak rest atop fresh greens, combining the satisfaction of a main course with the lightness of a salad. A house specialty.",ჩვენი რესტორნის საფირმო სალათი. ნაზი ხბოს სტეიკის ნაჭრები ცოცხალ ბოსტნეულთან ერთად - ნოყიერი და ჯანსაღი არჩევანი.
dish_0023,20,cat_0002,კიტრი პომიდვრის სალათი,Cucumber tomato salad,Салат из огурцов и помидоров,15,FALSE,FALSE,FALSE,"კიტრი, პომიდორი, წითელი ხახვი, ქინძი, რეჰანი, მზესუმზირის ზეთი, მარილი","Cucumbers, tomatoes, red onions, fresh cilantro, purple basil, sunflower oil, salt",,"The quintessential Georgian salad. The secret lies in the ingredients: sun-ripened tomatoes and cucumbers, often dressed with unrefined Kakhetian sunflower oil that smells of roasted seeds.","ქართული ზაფხულის გემო. მთავარი საიდუმლო ინგრედიენტებშია - მზით გაჯერებული პომიდორი, კიტრი და კახური ზეთი, რომელსაც მოხალული მზესუმზირის სურნელი აქვს."
dish_0024,30,cat_0002,კიტრიპომიდვრის სალათი ნიგვზით,Cucumber tomato salad with walnuts,Салат из огурцов и помидоров с грецкими орехами,17,FALSE,FALSE,FALSE,"კიტრი, პომიდორი, წითელი ხახვი, ნიგოზი, ნიორი, ძმარი, ცოცხალი მწვანილი","Cucumbers, tomatoes, red onions, walnuts, garlic, vinegar, fresh herbs",,"An upgrade to the classic salad. The dressing is a creamy walnut paste with vinegar and spices, turning a simple vegetable side into a rich, flavorful dish that screams 'Georgia'.","კლასიკური სალათის მდიდრული ვერსია. ნიგვზიანი საკმაზი ბოსტნეულს სრულიად ახალ, სადღესასწაულო გემოს სძენს."
dish_0025,40,cat_0002,ქათმის სალათი,Chicken salad,Куриный салат,20,FALSE,FALSE,FALSE,,,,"A versatile classic. Tender chicken breast is tossed with fresh vegetables and a light dressing. It’s a protein-packed, healthy option that doesn't compromise on flavor.","მსუბუქი და ცილებით მდიდარი. ქათმის ფილე და ცოცხალი ბოსტნეული მსუბუქი დრესინგით - იდეალურია მათთვის, ვინც ჯანსაღ კვებას ირჩევს."
dish_0026,50,cat_0002,ცეზარი ქათმით,Caesar with chicken,Цезарь с курицей,28,FALSE,FALSE,FALSE,"სალათის ფოთოლი (რომენი), შემწვარი ქათმის ფილე, ყველი პარმეზანი, ორცხობილა, ცეზარის სოუსი","Romaine lettuce, grilled chicken breast, parmesan cheese, croutons, Caesar dressing",,"The world-famous salad with a local touch. Crisp romaine, parmesan, and croutons meet grilled chicken. Did you know this salad was invented in Mexico by an Italian immigrant, Caesar Cardini?","მსოფლიო ჰიტი ქართული აქცენტით. ხრაშუნა სალათის ფოთლები, პარმეზანი და გრილზე შემწვარი ქათმის ფილე ჩვენი შეფ-მზარეულის სპეციალური სოუსით."
dish_0027,60,cat_0002,ცეზარი ორაგულით,Caesar with salmon,Цезарь с лососем,32,FALSE,FALSE,FALSE,,,,"A maritime twist on the classic Caesar. Grilled salmon fillet adds a rich, buttery texture to the crisp lettuce and tangy dressing, offering a dose of healthy Omega-3s.",კლასიკური ცეზარის ზღვის ვერსია. გრილზე შემწვარი ორაგული სალათს განსაკუთრებულ სინაზესა და სასარგებლო თვისებებს მატებს.
dish_0028,70,cat_0002,ცეზარი კრევეტებით,Caesar with shrimps,Цезарь с креветками,30,FALSE,FALSE,FALSE,,,,"For seafood lovers. Juicy shrimps replace the chicken, making the salad lighter and giving it a sweet, oceanic flavor profile that pairs beautifully with the creamy dressing.","ზღვის პროდუქტების მოყვარულთათვის. წვნიანი კრევეტები იდეალურად ერწყმის ცეზარის სოუსს და ქმნის მსუბუქ, დახვეწილ კერძს."
dish_0029,80,cat_0002,ბერძნული სალათი,Greek salad,Греческий салат,34,FALSE,FALSE,FALSE,"პომიდორი, კიტრი, წითელი ხახვი, ყველი ფეტა, კალამატას ზეთისხილი, ზეითუნის ზეთი, ორეგანო","Tomatoes, cucumbers, red onions, feta cheese, Kalamata olives, olive oil, oregano",,"A Mediterranean staple known as 'Horiatiki'. Feta cheese, olives, and fresh veggies seasoned with oregano. It’s a simple, rustic salad that celebrates the quality of its ingredients.","ხმელთაშუა ზღვის კლასიკა. ფეტა, ზეთისხილი და ორეგანო - მარტივი, მაგრამ გენიალური კომბინაცია, რომელიც ხაზს უსვამს ბოსტნეულის სიჯანსაღეს."
dish_0030,90,cat_0002,ბოსტნეულის სალათი,Vegetable salad,Овощной салат,18,FALSE,FALSE,FALSE,,,,"A celebration of garden freshness. A mix of seasonal vegetables dressed lightly to let the natural flavors shine. Perfect for those seeking a light, vitamin-rich accompaniment.","ბაღის საჩუქარი. სეზონური ბოსტნეულის ნაზავი, შეზავებული მსუბუქად, რათა შენარჩუნდეს ვიტამინები და ბუნებრივი გემო."
dish_0031,100,cat_0002,სალათი დოლჩე-ვიტა,Dolce Vita salad,Салат «Дольче Вита»,27,FALSE,FALSE,FALSE,"საქონლის ენა, ყველი, ბულგარული წიწაკა, მაიონეზი","Beef tongue, cheese, bell pepper, mayonnaise","Говяжий язык, сыр, болгарский перец, майонез","A salad that lives up to the 'Sweet Life' name. Likely a house special combining sweet and savory elements—perhaps fruit, nuts, and cheese—to create a harmonious and indulgent flavor profile.","ტკბილი ცხოვრების გემო. ჩვენი შეფის ექსპერიმენტი, რომელიც აერთიანებს მარილიან და ტკბილ ნოტებს - შესაძლოა ხილის, ყველისა და თხილეულის კომბინაციით."
dish_0032,110,cat_0002,"სალათი ""ჩერო""",Cherro salad,Салат «Черро»,35,FALSE,FALSE,FALSE,"რუკოლა, არტიშოკი, ჩერი, მწყერის კვერცხი, ბადრიჯანი, ბალზამირებული სოუსი)","Arugula, artichoke, cherry tomatoes, quail eggs, eggplant, balsamic sauce","Руккола, артишок, помидоры черри, перепелиные яйца, баклажан, бальзамический соус",Our signature salad! Created by our chef to highlight the best ingredients of the season. Expect a unique combination of textures and flavors that you won't find anywhere else.,"საფირმო სალათი, შექმნილი სპეციალურად ჩვენი სტუმრებისთვის. ინგრედიენტების უნიკალური ბალანსი, რომელსაც სხვაგან ვერ ნახავთ."
dish_0033,120,cat_0002,ცხელი სალათი,Hot salad,Горячий салат,28,FALSE,FALSE,FALSE,"ქათმის ფილე, ბულგარული წიწაკა, სოკო, სოიოს სოუსი","Chicken fillet, bell pepper, mushrooms, soy sauce","Куриное филе, болгарский перец, грибы, соевый соус","Who says salads must be cold? Warm grilled vegetables or sautéed meats are tossed with fresh greens. The heat wilts the leaves slightly, releasing more flavor and creating a comforting dish.","ვინ თქვა, რომ სალათი ცივი უნდა იყოს? შემწვარი ბოსტნეული ან ხორცი ცოცხალ მწვანილთან ერთად - კომფორტული და გემრიელი არჩევანი."
dish_0034,130,cat_0002,რუკოლას სალათი საქონლის ენით,Arugula salad with beef tongue,Салат из рукколы с говяжьим языком,27,FALSE,FALSE,FALSE,,,,A sophisticated pairing. The peppery bite of arugula cuts through the richness of the tender beef tongue. A balsamic or vinaigrette dressing ties these bold flavors together.,დახვეწილი დუეტი. რუკოლას პიკანტური გემო იდეალურად აბალანსებს მოხარშული ენის ცხიმიანობას. გურმანების საყვარელი სალათი.
dish_0035,140,cat_0002,რუკოლას სალათი კრევეტებით,Arugula salad with shrimps,Салат из рукколы с креветками,32,FALSE,FALSE,FALSE,"რუკოლა, ჩერი, კრევეტები, პარმეზანი","Arugula, cherry, shrimp, parmesan","Руккола, черри, креветки, пармезан","Light and zesty. The spicy notes of fresh arugula are the perfect backdrop for sweet, succulent shrimps. A modern dish that feels like a summer breeze on a plate.","მსუბუქი და არომატული. რუკოლას სიმკვეთრე და კრევეტების სიტკბო - თანამედროვე კერძი, რომელიც ზაფხულის განწყობას შეგიქმნით."
dish_0036,150,cat_0002,"სალათი ""ბორა-ბორა""",Bora Bora salad,Салат «Бора-Бора»,28,FALSE,FALSE,FALSE,"კიტრი, ავოკადო, კრევეტები","Cucumber, avocado, shrimp","Огурец, авокадо, креветки","An exotic mix bringing tropical vibes to the table. Expect a fusion of sweet and savory, possibly featuring fruits like pineapple or mango alongside savory proteins for a refreshing twist.","ეგზოტიკური მოგზაურობა თეფშზე. ტროპიკული ხილისა და ხორცეულის თამამი შეხამება, რომელიც ტრადიციული გემოებისგან განსხვავებულ გამოცდილებას გთავაზობთ."
dish_0037,10,cat_0003,ქაბაბი,Kebab,Кебаб,22,FALSE,FALSE,FALSE,ნახშირზე შემწვარი საქონლისა და ღორის ფარში,minced beef and pork roasted over charcoal,"говяжий и свиной фарш, запеченный на углях","Ground meat spiced with onions and herbs, molded onto a skewer and grilled over charcoal. Known as 'Kababi' in Georgia, it's often served wrapped in thin lavash bread with onions and sumac.","წვნიანი და არომატული. ტრადიციული რეცეპტით შეკაზმული ხორცი, შემწვარი ნაკვერჩხალზე. თხელ ლავაშსა და ხახვთან ერთად - ნამდვილი სიამოვნება."
dish_0038,20,cat_0003,ქაბაბი სულგუნით,Kebab with Sulguni,Кебаб с сулгуни,24,FALSE,FALSE,FALSE,ნახშირზე შემწვარი საქონლისა და ღორის ფარში სულგუნით,Charcoal-grilled beef and pork with sulguni,"Говядина и свинина, приготовленные на древесных углях, с добавлением сулгуни.","A surprise inside! The traditional kebab is stuffed with a stick of Sulguni cheese. When grilled, the cheese melts, creating a gooey, savory core inside the juicy meat.",სიურპრიზი შიგთავსში! ქაბაბი სულგუნის გულით. დაჭრისას მდნარი ყველი იღვრება და ხორცს კიდევ უფრო წვნიანს და გემრიელს ხდის.
dish_0039,30,cat_0003,ბოსტნეულის მწვადი,Vegetable barbecue,Овощной шашлык,20,FALSE,FALSE,FALSE,"ბადრიჯანი, ბულგარული წიწაკა, პომიდორი, სოკო","Eggplant, bell pepper, tomato, mushroom","Баклажан, болгарский перец, помидор, гриб","Smoky and sweet. Skewered bell peppers, eggplants, and mushrooms are grilled over embers. The fire enhances their natural sugars, making this a fantastic vegetarian main or side.","ბოსტნეული მაყალზე. შებრაწული ბადრიჯანი, წიწაკა და სოკო, რომლებსაც კვამლის არომატი დაუვიწყარ გემოს სძენს. იდეალური გარნირი ან დამოუკიდებელი კერძი."
dish_0040,40,cat_0003,ბატკნის მწვადი,Lamb barbecue,Шашлык из баранины,45,FALSE,FALSE,FALSE,,,,"A classic of the Caucasus. Chunks of lamb are marinated and grilled to perfection. The fat renders over the fire, dripping onto the coals and creating that unmistakable smoky aroma.","კავკასიური კლასიკა. ნაკვერჩხალზე შემწვარი ბატკნის ნაჭრები. ხორცის ბუნებრივი არომატი, რომელსაც მხოლოდ მარილი და ცეცხლი სჭირდება."
dish_0041,50,cat_0003,ღორის მწვადი,Pork barbecue,Шашлык из свинины,23,FALSE,FALSE,FALSE,,,,"Georgia's national obsession, 'Mtsvadi'. Often made from pork neck, it’s traditionally grilled on vine branches (tsalami) for a unique flavor. No marinade is needed, just salt and fire!","ქართული მწვადი - სუფრის მშვენება. საუკეთესო ხორცის ნაჭრები, შემწვარი წალამზე ან ნაკვერჩხალზე. კერძი, რომელსაც წარდგენა არ სჭირდება."
dish_0042,60,cat_0003,კალმახი შამფურზე,Trout on a skewer,Форель на шампуре,20,FALSE,FALSE,FALSE,,,,"Whole trout, skewered and grilled. The skin becomes crispy while the flesh remains tender and flaky. It’s a simple preparation that honors the clean taste of the mountain river fish.",მთის მდინარის გემო. შამფურზე შემწვარი მთლიანი კალმახი. ხრაშუნა კანი და ნაზი ხორცი - მარტივი და გენიალური.
dish_0043,70,cat_0003,ქაბაბი ქათმის ხორცით,Chicken kebab,Куриный кебаб,20,FALSE,FALSE,FALSE,,,,"A lighter alternative to beef or pork. Minced chicken is seasoned with herbs and spices, then grilled. It’s juicy, flavorful, and pairs perfectly with a squeeze of lemon.","მსუბუქი ალტერნატივა. შეკაზმული ქათმის ფარში, შემწვარი მაყალზე. წვნიანი და დიეტური, განსაკუთრებით უხდება ლიმონი."
dish_0044,80,cat_0003,მწვადის ასორტი,Assorted barbecue,Ассорти из шашлыков,150,FALSE,FALSE,FALSE,,,,"The ultimate meat feast! A platter featuring pork, chicken, and kebab skewers. Perfect for sharing, it offers a taste of everything the grill master has to offer.","ხორცის მოყვარულთა ოცნება. ღორის, ქათმისა და ქაბაბის ნაკრები ერთ ლანგარზე. იდეალურია მეგობრებთან ერთად გასაზიარებლად."
dish_0045,90,cat_0003,ქათმის მწვადი,Chicken barbecue,Шашлык из курицы,20,FALSE,FALSE,FALSE,,,,"Marinated chicken chunks grilled over charcoal. The marinade, often yogurt or vinegar-based, keeps the meat tender and juicy while the fire adds a delicious char.","ქათმის მწვადი - ნაზი და არომატული. მარინადში დავარგებული ხორცი, რომელიც ნაკვერჩხალზე შეწვისას ინარჩუნებს სირბილეს."
dish_0046,100,cat_0003,ღორის ნეკნის მწვადი,Pork rib barbecue,Шашлык из свиных ребрышек,25,FALSE,FALSE,FALSE,,,,"For those who love meat on the bone. Pork ribs are grilled until the meat pulls away from the bone. The fat renders down to create a sticky, savory crust.","მათთვის, ვისაც ხორცი ძვალზე უყვარს. შებრაწული ნეკნები, რომლებსაც ცხიმი განსაკუთრებულ გემოსა და სირბილეს მატებს."
dish_0047,110,cat_0003,ქათმის ფრთები,Chicken wings,Куриные крылышки,20,FALSE,FALSE,FALSE,,,,"Crispy, smoky, and addictive. Grilled chicken wings are a universal favorite. Perfect as a snack with beer or a meal on their own, seasoned to perfection.",ხრაშუნა და მიმზიდველი. მაყალზე შემწვარი ფრთები - საუკეთესო არჩევანი ლუდთან ან უბრალოდ წასახემსებლად.
dish_0048,120,cat_0003,კრევეტები,Shrimp,Креветки,32,FALSE,FALSE,FALSE,,,,"Grilled or fried, shrimps are a treat. In Georgia, they are often cooked simply with lemon and garlic to highlight their natural sweetness. A taste of the Black Sea coast.","შემწვარი კრევეტები - ზღვის ნიავი თქვენს თეფშზე. მომზადებული მარტივად, ლიმონითა და ნივრით, რათა არ დაიკარგოს პროდუქტის ბუნებრივი სიტკბო."
dish_0049,10,cat_0004,პური,Bread,Хлеб,3,FALSE,FALSE,FALSE,,,,"Georgian bread, 'Puri', is sacred. Traditionally baked in a clay oven called a 'Tone', it has a crispy crust and a soft, chewy interior. It’s the utensil for scooping up sauces and cheese.","ქართული პური - სუფრის გული. თონეში გამომცხვარი, ხრაშუნა ყუათა და რბილი გულით. ყველაზე გემრიელი „კოვზი“ საწებლებისთვის."
dish_0050,20,cat_0004,მჭადი კეცზე,Mchadi on a ketsi,Мчади на кеци,5,FALSE,FALSE,FALSE,"სიმინდის ფქვილი, წყალი, მარილი, ზეთი","Cornmeal, water, salt, oil",Грузинский кукурузный хлеб,"Traditional cornbead fried in a clay pan (ketsi). Crunchy on the outside and hot on the inside, it’s the best friend of cheese, specifically Imeretian or Sulguni.","კეცზე გამომცხვარი სიმინდის კვერი. გარედან ხრაშუნა, შიგნით ცხელი - ყველისა და ლობიოს განუყრელი მეგობარი."
dish_0051,30,cat_0004,ჭვიშტვარი,Chvishtvari,Чвиштвари,15,FALSE,FALSE,FALSE,"სიმინდის ფქვილი, სულგუნი, წყალი/რძე, მარილი, ზეთი","Cornmeal, Sulguni cheese, water/milk, salt, oil",Грузинский кукурузный хлеб с сыром,"Mchadi's rich cousin from Svaneti or Samegrelo. Cheese is mixed directly into the cornmeal dough before frying, creating a cheesy, stretchy, savory cornbread delight.","სვანური სტუმართმოყვარეობა. სიმინდის ცომში ჩაზელილი ყველი, რომელიც შეწვისას დნება და კერძს საოცრად გემრიელსა და ნოყიერს ხდის."
dish_0052,40,cat_0004,ხაჭაპური იმერული,Imeretian Khachapuri,Имеретинский хачапури,20,FALSE,FALSE,FALSE,"ცომი (ხორბლის ფქვილი, წყალი, საფუარი, მარილი), იმერული ყველი, კვერცხი, კარაქი","Dough (wheat flour, water, yeast, salt), Imeretian cheese, egg, butter",,"The classic cheese bread. A round dough filled with Imeretian cheese. It’s the most common type, beloved for its soft dough and uniform, savory filling.","ყველასთვის საყვარელი კლასიკა. იმერული ყველისა და რბილი ცომის იდეალური ბალანსი. ეს არის ხაჭაპური, რომელიც არასდროს გვბეზრდება."
